2026-02-25 19:40:57,575 - INFO - 🚀 Запуск скрипта. Лог-файл: c:\Users\Alkor\VSCode\pj14_rss_news_oil_gaz_embeded\rts\log\create_markdown_files_2026-02-25_19-40-57.txt
2026-02-25 19:40:57,585 - INFO - Успешно прочитан файл БД: C:\Users\Alkor\gd\db_rss\rss_news_2025_09.db
2026-02-25 19:40:57,616 - INFO - Успешно прочитан файл БД: C:\Users\Alkor\gd\db_rss\rss_news_2025_10.db
2026-02-25 19:40:57,643 - INFO - Успешно прочитан файл БД: C:\Users\Alkor\gd\db_rss\rss_news_2025_11.db
2026-02-25 19:40:57,668 - INFO - Успешно прочитан файл БД: C:\Users\Alkor\gd\db_rss\rss_news_2025_12.db
2026-02-25 19:40:57,695 - INFO - Успешно прочитан файл БД: C:\Users\Alkor\gd\db_rss\rss_news_2026_01.db
2026-02-25 19:40:57,718 - INFO - Успешно прочитан файл БД: C:\Users\Alkor\gd\db_rss\rss_news_2026_02.db
2026-02-25 19:40:57,819 - INFO - Отфильтровано 3321 новостей по ключевым словам 'нефт' или 'газ'
2026-02-25 19:40:57,834 - INFO - Удалён последний markdown-файл: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-24.md
2026-02-25 19:40:57,854 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-09-26.md
2026-02-25 19:40:57,854 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-09-29.md
2026-02-25 19:40:57,854 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-09-30.md
2026-02-25 19:40:57,855 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-01.md
2026-02-25 19:40:57,855 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-02.md
2026-02-25 19:40:57,855 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-03.md
2026-02-25 19:40:57,855 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-06.md
2026-02-25 19:40:57,855 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-07.md
2026-02-25 19:40:57,855 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-08.md
2026-02-25 19:40:57,856 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-09.md
2026-02-25 19:40:57,856 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-10.md
2026-02-25 19:40:57,856 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-13.md
2026-02-25 19:40:57,856 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-14.md
2026-02-25 19:40:57,856 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-15.md
2026-02-25 19:40:57,856 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-16.md
2026-02-25 19:40:57,856 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-17.md
2026-02-25 19:40:57,857 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-20.md
2026-02-25 19:40:57,857 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-21.md
2026-02-25 19:40:57,857 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-22.md
2026-02-25 19:40:57,857 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-23.md
2026-02-25 19:40:57,857 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-24.md
2026-02-25 19:40:57,857 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-27.md
2026-02-25 19:40:57,857 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-28.md
2026-02-25 19:40:57,857 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-29.md
2026-02-25 19:40:57,857 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-30.md
2026-02-25 19:40:57,858 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-10-31.md
2026-02-25 19:40:57,858 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-01.md
2026-02-25 19:40:57,858 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-03.md
2026-02-25 19:40:57,858 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-05.md
2026-02-25 19:40:57,858 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-06.md
2026-02-25 19:40:57,858 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-07.md
2026-02-25 19:40:57,858 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-10.md
2026-02-25 19:40:57,858 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-11.md
2026-02-25 19:40:57,858 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-12.md
2026-02-25 19:40:57,859 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-13.md
2026-02-25 19:40:57,859 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-14.md
2026-02-25 19:40:57,859 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-17.md
2026-02-25 19:40:57,859 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-18.md
2026-02-25 19:40:57,859 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-19.md
2026-02-25 19:40:57,859 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-20.md
2026-02-25 19:40:57,859 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-21.md
2026-02-25 19:40:57,859 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-24.md
2026-02-25 19:40:57,859 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-25.md
2026-02-25 19:40:57,859 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-26.md
2026-02-25 19:40:57,859 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-27.md
2026-02-25 19:40:57,859 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-28.md
2026-02-25 19:40:57,860 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-01.md
2026-02-25 19:40:57,860 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-02.md
2026-02-25 19:40:57,860 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-03.md
2026-02-25 19:40:57,860 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-04.md
2026-02-25 19:40:57,860 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-05.md
2026-02-25 19:40:57,860 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-08.md
2026-02-25 19:40:57,860 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-09.md
2026-02-25 19:40:57,860 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-10.md
2026-02-25 19:40:57,860 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-11.md
2026-02-25 19:40:57,861 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-12.md
2026-02-25 19:40:57,861 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-15.md
2026-02-25 19:40:57,861 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-16.md
2026-02-25 19:40:57,861 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-17.md
2026-02-25 19:40:57,861 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-18.md
2026-02-25 19:40:57,861 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-19.md
2026-02-25 19:40:57,861 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-22.md
2026-02-25 19:40:57,861 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-23.md
2026-02-25 19:40:57,861 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-24.md
2026-02-25 19:40:57,861 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-25.md
2026-02-25 19:40:57,861 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-26.md
2026-02-25 19:40:57,861 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-29.md
2026-02-25 19:40:57,861 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-30.md
2026-02-25 19:40:57,862 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-05.md
2026-02-25 19:40:57,862 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-06.md
2026-02-25 19:40:57,862 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-08.md
2026-02-25 19:40:57,862 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-09.md
2026-02-25 19:40:57,862 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-12.md
2026-02-25 19:40:57,862 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-13.md
2026-02-25 19:40:57,862 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-14.md
2026-02-25 19:40:57,862 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-15.md
2026-02-25 19:40:57,862 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-16.md
2026-02-25 19:40:57,862 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-19.md
2026-02-25 19:40:57,862 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-20.md
2026-02-25 19:40:57,862 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-21.md
2026-02-25 19:40:57,863 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-22.md
2026-02-25 19:40:57,863 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-23.md
2026-02-25 19:40:57,863 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-26.md
2026-02-25 19:40:57,863 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-27.md
2026-02-25 19:40:57,863 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-28.md
2026-02-25 19:40:57,863 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-29.md
2026-02-25 19:40:57,863 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-30.md
2026-02-25 19:40:57,863 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-02.md
2026-02-25 19:40:57,863 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-03.md
2026-02-25 19:40:57,863 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-04.md
2026-02-25 19:40:57,863 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-05.md
2026-02-25 19:40:57,864 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-06.md
2026-02-25 19:40:57,864 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-09.md
2026-02-25 19:40:57,864 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-10.md
2026-02-25 19:40:57,864 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-11.md
2026-02-25 19:40:57,864 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-12.md
2026-02-25 19:40:57,864 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-13.md
2026-02-25 19:40:57,864 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-16.md
2026-02-25 19:40:57,864 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-17.md
2026-02-25 19:40:57,864 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-18.md
2026-02-25 19:40:57,864 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-19.md
2026-02-25 19:40:57,865 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-20.md
2026-02-25 19:40:57,867 - INFO - Создан markdown-файл: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-24.md
