2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-13.md
2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-14.md
2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-17.md
2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-18.md
2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-19.md
2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-20.md
2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-21.md
2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-24.md
2026-02-26 23:47:42,109 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-25.md
2026-02-26 23:47:42,110 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-26.md
2026-02-26 23:47:42,110 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-27.md
2026-02-26 23:47:42,110 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-11-28.md
2026-02-26 23:47:42,110 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-01.md
2026-02-26 23:47:42,110 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-02.md
2026-02-26 23:47:42,110 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-03.md
2026-02-26 23:47:42,110 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-04.md
2026-02-26 23:47:42,111 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-05.md
2026-02-26 23:47:42,111 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-08.md
2026-02-26 23:47:42,111 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-09.md
2026-02-26 23:47:42,111 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-10.md
2026-02-26 23:47:42,111 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-11.md
2026-02-26 23:47:42,111 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-12.md
2026-02-26 23:47:42,111 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-15.md
2026-02-26 23:47:42,111 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-16.md
2026-02-26 23:47:42,111 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-17.md
2026-02-26 23:47:42,112 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-18.md
2026-02-26 23:47:42,112 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-19.md
2026-02-26 23:47:42,112 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-22.md
2026-02-26 23:47:42,112 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-23.md
2026-02-26 23:47:42,112 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-24.md
2026-02-26 23:47:42,112 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-25.md
2026-02-26 23:47:42,112 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-26.md
2026-02-26 23:47:42,112 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-29.md
2026-02-26 23:47:42,113 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2025-12-30.md
2026-02-26 23:47:42,113 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-05.md
2026-02-26 23:47:42,113 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-06.md
2026-02-26 23:47:42,113 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-08.md
2026-02-26 23:47:42,113 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-09.md
2026-02-26 23:47:42,113 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-12.md
2026-02-26 23:47:42,113 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-13.md
2026-02-26 23:47:42,113 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-14.md
2026-02-26 23:47:42,113 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-15.md
2026-02-26 23:47:42,113 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-16.md
2026-02-26 23:47:42,114 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-19.md
2026-02-26 23:47:42,114 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-20.md
2026-02-26 23:47:42,114 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-21.md
2026-02-26 23:47:42,114 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-22.md
2026-02-26 23:47:42,114 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-23.md
2026-02-26 23:47:42,114 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-26.md
2026-02-26 23:47:42,114 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-27.md
2026-02-26 23:47:42,114 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-28.md
2026-02-26 23:47:42,114 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-29.md
2026-02-26 23:47:42,114 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-01-30.md
2026-02-26 23:47:42,114 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-02.md
2026-02-26 23:47:42,114 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-03.md
2026-02-26 23:47:42,115 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-04.md
2026-02-26 23:47:42,115 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-05.md
2026-02-26 23:47:42,115 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-06.md
2026-02-26 23:47:42,115 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-09.md
2026-02-26 23:47:42,115 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-10.md
2026-02-26 23:47:42,115 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-11.md
2026-02-26 23:47:42,115 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-12.md
2026-02-26 23:47:42,115 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-13.md
2026-02-26 23:47:42,115 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-16.md
2026-02-26 23:47:42,115 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-17.md
2026-02-26 23:47:42,115 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-18.md
2026-02-26 23:47:42,115 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-19.md
2026-02-26 23:47:42,116 - INFO - Markdown-файл уже существует, пропуск: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-20.md
2026-02-26 23:47:42,118 - INFO - Создан markdown-файл: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-24.md
2026-02-26 23:47:42,120 - INFO - Создан markdown-файл: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-25.md
2026-02-26 23:47:42,121 - INFO - Создан markdown-файл: C:\Users\Alkor\gd\md_rss_all_oil_gaz\2026-02-26.md
